Start Time,End Time,Type,Comments,,
Mon Mar 17 03:00:16 PDT 2014,Mon Mar 17 09:38:14 PDT 2014,Activity,Activity,Sleep,Home
Mon Mar 17 09:38:14 PDT 2014,Mon Mar 17 09:53:45 PDT 2014,Walk trip,Trip,Walk,
Mon Mar 17 09:53:45 PDT 2014,Mon Mar 17 10:05:39 PDT 2014,Activity,Activity,Work,McLaughlin Hall
Mon Mar 17 10:05:39 PDT 2014,Mon Mar 17 11:06:35 PDT 2014,Activity,Activity,Work,McLaughlin Hall
Mon Mar 17 11:06:35 PDT 2014,Mon Mar 17 12:16:10 PDT 2014,Activity,Activity,Work,McLaughlin Hall
Mon Mar 17 12:16:10 PDT 2014,Mon Mar 17 12:49:23 PDT 2014,Activity,Activity,Work,McLaughlin Hall
Mon Mar 17 12:49:23 PDT 2014,Mon Mar 17 13:58:50 PDT 2014,Activity,Activity,Work,McLaughlin Hall
Mon Mar 17 13:58:50 PDT 2014,Mon Mar 17 14:03:54 PDT 2014,Hole,Hole,,
Mon Mar 17 14:03:54 PDT 2014,Mon Mar 17 14:31:40 PDT 2014,Walk trip,Activity,Work,McLaughlin Hall
Mon Mar 17 14:31:40 PDT 2014,Mon Mar 17 14:41:32 PDT 2014,Hole,Hole,Work,McLaughlin Hall
Mon Mar 17 14:41:32 PDT 2014,Mon Mar 17 14:45:10 PDT 2014,Walk trip,Activity,Work,McLaughlin Hall
Mon Mar 17 14:45:10 PDT 2014,Mon Mar 17 15:07:07 PDT 2014,Hole,Hole,,
Mon Mar 17 15:07:07 PDT 2014,Mon Mar 17 15:44:03 PDT 2014,Activity,Activity,Work,Davis Hall
Mon Mar 17 15:44:03 PDT 2014,Mon Mar 17 16:22:52 PDT 2014,Activity,Activity,Work,Davis Hall
Mon Mar 17 16:22:52 PDT 2014,Mon Mar 17 16:27:22 PDT 2014,Walk trip,Trip,Walk,
Mon Mar 17 16:27:22 PDT 2014,Mon Mar 17 22:03:49 PDT 2014,Hole,Hole,,
Mon Mar 17 22:03:49 PDT 2014,Mon Mar 17 22:04:13 PDT 2014,Walk trip,Activity,Sleep,Home
Mon Mar 17 22:04:13 PDT 2014,Tue Mar 18 00:00:22 PDT 2014,Hole,Hole,,
Tue Mar 18 00:00:22 PDT 2014,Tue Mar 18 02:59:53 PDT 2014,Activity,Activity,Sleep,Home
