Start Time,End Time,Start Epoch,End Epoch,Type,Comments,,
4/14/14 3:00,4/14/14 9:44,1397469608906,1397493886411,Activity,Activity,Sleep,Home
4/14/14 9:44,4/14/14 9:53,1397493886411,1397494428634,Activity,Activity,Household_chores,Home
4/14/14 9:53,4/14/14 10:01,1397494428634,1397494911075,Walk trip,Trip,Walk,
4/14/14 10:01,4/14/14 10:03,1397494911075,1397495001511,Non-walk trip,Trip,Transit,AC_Transit
4/14/14 10:03,4/14/14 10:13,1397495001511,1397495604583,Activity,Trip,Transit,AC_Transit
4/14/14 10:13,4/14/14 10:14,1397495604583,1397495666898,Walk trip,Trip,Walk,
4/14/14 10:14,4/14/14 17:05,1397495666898,1397520313318,Activity,Activity,Work,McLaughlin Hall
4/14/14 17:05,4/14/14 17:40,1397520313318,1397522449312,Hole,Hole,,
4/14/14 17:40,4/14/14 19:07,1397522449312,1397527623618,Activity,Activity,Work,McLaughlin Hall
4/14/14 19:07,4/14/14 19:13,1397527623618,1397528011935,Hole,Hole,,
4/14/14 19:13,4/14/14 20:15,1397528011935,1397531751753,Activity,Activity,Work,McLaughlin Hall
4/14/14 20:15,4/14/14 20:20,1397531751753,1397532058426,Walk trip,Trip,Walk,
4/14/14 20:20,4/14/14 20:29,1397532058426,1397532558053,Activity,Activity,Meals,Dinner
4/14/14 20:29,4/14/14 20:32,1397532558053,1397532722691,Walk trip,Trip,Walk,
4/14/14 20:32,4/14/14 20:45,1397532722691,1397533508308,Activity,Activity,Recreation,Sather Tower
4/14/14 20:45,4/14/14 20:50,1397533508308,1397533828228,Walk trip,Trip,Walk,
4/14/14 20:50,4/14/14 21:18,1397533828228,1397535498460,Activity,Activity,Meals,Asian Ghetto
4/14/14 21:18,4/14/14 21:41,1397535498460,1397536917115,Activity,Activity,Meals,Asian Ghetto
4/14/14 21:41,4/14/14 21:47,1397536917115,1397537279291,Activity,Activity,Meals,Asian Ghetto
4/14/14 21:47,4/14/14 21:57,1397537279291,1397537821799,Activity,Activity,Meals,Asian Ghetto
4/14/14 21:57,4/14/14 21:59,1397537821799,1397537942434,Non-walk trip,Trip,Walk,
4/14/14 21:59,4/14/14 22:11,1397537942434,1397538695659,Walk trip,Trip,Walk,
4/14/14 22:11,4/15/14 2:59,1397538695659,1397555996490,Activity,Activity,Work Sleep,Home
