Start Time,End Time,Start Epoch,End Epoch,Type,Comments,,
4/9/14 3:51,4/9/14 8:50,1397040705265,1397058629795,Hole,Activity,Sleep,Home
4/9/14 8:50,4/9/14 8:52,1397058629795,1397058735241,Non-walk trip,Trip,Transit,AC_Transit
4/9/14 8:52,4/9/14 9:32,1397058735241,1397061163567,Hole,Hole,,
4/9/14 9:32,4/9/14 9:33,1397061163567,1397061185532,Non-walk trip,Activity,Work,Meeting
4/9/14 9:33,4/9/14 11:45,1397061185532,1397069109342,Activity,Activity,Work,Meeting
4/9/14 11:45,4/9/14 11:50,1397069109342,1397069406298,Walk trip,Trip,Walk,Bus stop
4/9/14 11:50,4/9/14 11:59,1397069406298,1397069950333,Non-walk trip,Trip,Transit,AC_Transit
4/9/14 11:59,4/9/14 12:07,1397069950333,1397070431843,Walk trip,Trip,Walk,
4/9/14 12:07,4/9/14 12:33,1397070431843,1397071996177,Activity,Activity,Meals,Lunch
4/9/14 12:33,4/9/14 12:34,1397071996177,1397072087931,Non-walk trip,Trip,Bike,
4/9/14 12:34,4/9/14 12:45,1397072087931,1397072714469,Activity,Activity,Meals,Take out
4/9/14 12:45,4/9/14 12:46,1397072714469,1397072807728,Walk trip,Trip,Bike,
4/9/14 12:46,4/9/14 12:54,1397072807728,1397073257619,Non-walk trip,Trip,Bike,
4/9/14 12:54,4/9/14 20:02,1397073257619,1397098921325,Activity,Activity,Sleep,Home
