Start Time,End Time,Start Epoch,End Epoch,Type,Comments,,
4/8/14 3:00,4/8/14 9:35,1396951236697,1396974932277,Activity,Activity,Sleep,Home
4/8/14 9:35,4/8/14 9:42,1396974932277,1396975347542,Non-walk trip,Trip,Transit,AC_Transit
4/8/14 9:42,4/8/14 9:53,1396975347542,1396975986247,Walk trip,Trip,Walk,
4/8/14 9:53,4/8/14 10:00,1396975986247,1396976442705,Activity,Activity,Meals,Peet's
4/8/14 10:00,4/8/14 12:24,1396976442705,1396985074813,Activity,Activity,Work,McLaughlin Hall
4/8/14 12:24,4/8/14 12:26,1396985074813,1396985160096,Non-walk trip,Trip,Walk,
4/8/14 12:26,4/8/14 12:33,1396985160096,1396985614320,Activity,Meals,,
4/8/14 12:33,4/8/14 12:34,1396985614320,1396985671281,Walk trip,Trip,Walk,
4/8/14 12:34,4/8/14 14:36,1396985671281,1396992960783,Activity,Activity,Work,McLaughlin Hall
4/8/14 14:36,4/8/14 15:14,1396992960783,1396995256668,Hole,Hole,,
4/8/14 15:14,4/8/14 15:15,1396995256668,1396995346818,Walk trip,Activity,Work,McLaughlin Hall
4/8/14 15:15,4/8/14 15:47,1396995346818,1396997268421,Hole,Hole,,
4/8/14 15:47,4/8/14 15:51,1396997268421,1396997508967,Walk trip,Activity,Meals,Coffee
