Start Time,End Time,Type,Comments,,
Wed Mar 12 12:18:42 PDT 2014,Wed Mar 12 15:22:11 PDT 2014,Activity,Activity,Work,McLaughlin Hall
Wed Mar 12 15:22:11 PDT 2014,Wed Mar 12 15:22:40 PDT 2014,Walk trip,Trip,Walk,
Wed Mar 12 15:22:40 PDT 2014,Wed Mar 12 15:41:18 PDT 2014,Activity,Activity,Meals,Menchies
Wed Mar 12 15:41:18 PDT 2014,Wed Mar 12 15:44:05 PDT 2014,Non-walk trip,Trip,Transit,AC_Transit
Wed Mar 12 15:44:05 PDT 2014,Wed Mar 12 15:50:51 PDT 2014,Walk trip,Trip,Transit,AC_Transit
Wed Mar 12 15:50:51 PDT 2014,Wed Mar 12 15:52:23 PDT 2014,Non-walk trip,Trip,Transit,AC_Transit
Wed Mar 12 15:52:23 PDT 2014,Wed Mar 12 15:55:24 PDT 2014,Walk trip,Trip,Transit,AC_Transit
Wed Mar 12 15:55:24 PDT 2014,Wed Mar 12 16:00:26 PDT 2014,Non-walk trip,Trip,Transit,AC_Transit
Wed Mar 12 16:00:26 PDT 2014,Wed Mar 12 16:08:29 PDT 2014,Walk trip,Trip,Walk,
Wed Mar 12 16:08:29 PDT 2014,Wed Mar 12 16:15:22 PDT 2014,Activity,Activity,Work,Home
Wed Mar 12 16:15:22 PDT 2014,Thu Mar 13 02:59:43 PDT 2014,Activity,Activity,Work Sleep,Home
