Start Time,End Time,Start Epoch,End Epoch,Type,Comments,,
4/24/14 3:00,4/24/14 7:34,1398333605722,1398350052456,Activity,Activity,Sleep,Dave's
4/24/14 7:34,4/24/14 7:37,1398350052456,1398350258253,Non-walk trip,Trip,Bike,
4/24/14 7:37,4/24/14 7:41,1398350258253,1398350498423,Walk trip,Trip,Bike,
4/24/14 7:41,4/24/14 7:46,1398350498423,1398350770508,Non-walk trip,Trip,Bike,
4/24/14 7:46,4/24/14 7:50,1398350770508,1398351042716,Walk trip,Trip,Bike,
4/24/14 7:50,4/24/14 14:09,1398351042716,1398373781743,Activity,Activity,Work,McLaughlin Hall
4/24/14 14:09,4/24/14 14:18,1398373781743,1398374321883,Walk trip,Trip,Walk,
4/24/14 14:18,4/24/14 14:31,1398374321883,1398375073235,Activity,Activity,Waiting,Bus stop
4/24/14 14:31,4/24/14 14:36,1398375073235,1398375369544,Walk trip,Trip,Transit,AC_Transit
4/24/14 14:36,4/24/14 14:42,1398375369544,1398375734206,Non-walk trip,Trip,Transit,AC_Transit
4/24/14 14:42,4/25/14 2:59,1398375734206,1398419978992,Activity,Activity,Sleep,Home
