Start Time,End Time,Type,Comments,,
Mon Mar 10 03:00:20 PDT 2014,Mon Mar 10 09:50:14 PDT 2014,Activity,Activity,Sleep Work,Home
Mon Mar 10 09:50:14 PDT 2014,Mon Mar 10 12:04:29 PDT 2014,Hole,Hole,,
Mon Mar 10 12:04:29 PDT 2014,Mon Mar 10 19:14:54 PDT 2014,Activity,Activity,Work,McLaughlin Hall
Mon Mar 10 19:14:54 PDT 2014,Mon Mar 10 19:15:24 PDT 2014,Non-walk trip,Trip,Walk,
Mon Mar 10 19:15:24 PDT 2014,Mon Mar 10 21:17:58 PDT 2014,Activity,Activity,Work,Latimer Hall
Mon Mar 10 21:17:58 PDT 2014,Mon Mar 10 21:19:29 PDT 2014,Non-walk trip,Trip,Walk,
Mon Mar 10 21:19:29 PDT 2014,Mon Mar 10 21:25:01 PDT 2014,Walk trip,Trip,Walk,
Mon Mar 10 21:25:01 PDT 2014,Mon Mar 10 21:42:07 PDT 2014,Non-walk trip,Trip,Transit,AC_Transit
Mon Mar 10 21:42:07 PDT 2014,Mon Mar 10 21:44:08 PDT 2014,Walk trip,Trip,Walk,
Mon Mar 10 21:44:08 PDT 2014,Tue Mar 11 00:00:24 PDT 2014,Hole,Hole,,
Tue Mar 11 00:00:24 PDT 2014,Tue Mar 11 02:59:38 PDT 2014,Activity,Activity,Sleep,Home
