Start Time,End Time,Type,Comments,,
Wed Mar 12 07:12:38 PDT 2014,Wed Mar 12 07:42:47 PDT 2014,Activity,Activity,Meals Personal_services,Dave's
Wed Mar 12 07:42:47 PDT 2014,Wed Mar 12 07:54:59 PDT 2014,Non-walk trip,Trip,Bike,
Wed Mar 12 07:54:59 PDT 2014,Wed Mar 12 08:07:31 PDT 2014,Hole,Hole,,
Wed Mar 12 08:07:31 PDT 2014,Wed Mar 12 08:08:38 PDT 2014,Walk trip,Trip,Walk,
Wed Mar 12 08:08:38 PDT 2014,Wed Mar 12 10:41:50 PDT 2014,Hole,Hole,,
Wed Mar 12 10:41:50 PDT 2014,Wed Mar 12 10:47:07 PDT 2014,Non-walk trip,Trip,Bike,
Wed Mar 12 10:47:07 PDT 2014,Wed Mar 12 11:01:14 PDT 2014,Activity,Activity,Medical,Alta Bates Summit
Wed Mar 12 11:01:14 PDT 2014,Wed Mar 12 11:56:36 PDT 2014,Activity,Activity,Medical,Alta Bates Summit
Wed Mar 12 11:56:36 PDT 2014,Wed Mar 12 12:15:49 PDT 2014,Activity,Activity,Medical,Alta Bates Summit
Wed Mar 12 12:15:49 PDT 2014,Wed Mar 12 12:27:11 PDT 2014,Walk trip,Trip,Bike,
Wed Mar 12 12:27:11 PDT 2014,Wed Mar 12 12:50:01 PDT 2014,Activity,Activity,Work,McLaughlin Hall
Wed Mar 12 12:50:01 PDT 2014,Wed Mar 12 13:00:31 PDT 2014,Walk trip,Trip,Walk,
Wed Mar 12 13:00:31 PDT 2014,Wed Mar 12 13:16:58 PDT 2014,Activity,Trip,Walk,
Wed Mar 12 13:16:58 PDT 2014,Wed Mar 12 13:17:34 PDT 2014,Non-walk trip,Trip,Walk,
Wed Mar 12 13:17:34 PDT 2014,Wed Mar 12 13:41:00 PDT 2014,Activity,Activity,Meals,McLaughlin Hall
Wed Mar 12 13:41:00 PDT 2014,Wed Mar 12 14:01:59 PDT 2014,Activity,Activity,Meals,McLaughlin Hall
Wed Mar 12 14:01:59 PDT 2014,Wed Mar 12 14:48:29 PDT 2014,Activity,Activity,Work,McLaughlin Hall
Wed Mar 12 14:48:29 PDT 2014,Wed Mar 12 16:51:37 PDT 2014,Hole,Hole,,
Wed Mar 12 16:51:37 PDT 2014,Wed Mar 12 18:11:54 PDT 2014,Activity,Activity,Work,McLaughlin Hall
Wed Mar 12 18:11:54 PDT 2014,Wed Mar 12 18:19:18 PDT 2014,Non-walk trip,Trip,Bike,
Wed Mar 12 18:19:18 PDT 2014,Wed Mar 12 18:26:29 PDT 2014,Activity,Activity,Relaxing,
Wed Mar 12 18:26:29 PDT 2014,Wed Mar 12 18:28:18 PDT 2014,Non-walk trip,Trip,Bike,
Wed Mar 12 18:28:18 PDT 2014,Wed Mar 12 21:51:23 PDT 2014,Activity,Activity,Meals Sleep,Dave's
