Start Time,End Time,Type,Comments,,
Mon Mar 10 10:08:18 PDT 2014,Mon Mar 10 10:15:43 PDT 2014,Activity,Activity,Sleep,Home
Mon Mar 10 10:15:43 PDT 2014,Mon Mar 10 10:23:50 PDT 2014,Non-walk trip,Trip,Transit,AC_Transit
Mon Mar 10 10:23:50 PDT 2014,Mon Mar 10 10:37:24 PDT 2014,Walk trip,Trip,Walk,
Mon Mar 10 10:37:24 PDT 2014,Mon Mar 10 13:03:42 PDT 2014,Activity,Activity,Work,McLaughlin Hall
Mon Mar 10 13:03:42 PDT 2014,Mon Mar 10 13:35:46 PDT 2014,Hole,Hole,Hole,
Mon Mar 10 13:35:46 PDT 2014,Mon Mar 10 13:37:07 PDT 2014,Non-walk trip,Trip,Walk,
Mon Mar 10 13:37:07 PDT 2014,Mon Mar 10 13:44:12 PDT 2014,Activity,Activity,Meals,Jasmine Thai
Mon Mar 10 13:44:12 PDT 2014,Mon Mar 10 13:45:56 PDT 2014,Walk trip,Trip,Walk,
Mon Mar 10 13:45:56 PDT 2014,Mon Mar 10 13:52:08 PDT 2014,Activity,Trip,Walk,
Mon Mar 10 13:52:08 PDT 2014,Mon Mar 10 18:27:35 PDT 2014,Activity,Activity,Work,McLaughlin Hall
Mon Mar 10 18:27:35 PDT 2014,Mon Mar 10 18:32:15 PDT 2014,Non-walk trip,Trip,Walk,
Mon Mar 10 18:32:15 PDT 2014,Mon Mar 10 18:34:47 PDT 2014,Walk trip,Trip,Walk,
Mon Mar 10 18:34:47 PDT 2014,Mon Mar 10 18:43:20 PDT 2014,Activity,Activity,Waiting,Bus Stop
Mon Mar 10 18:43:20 PDT 2014,Mon Mar 10 18:56:06 PDT 2014,Non-walk trip,Trip,Transit,
Mon Mar 10 18:56:06 PDT 2014,Mon Mar 10 19:05:34 PDT 2014,Walk trip,Trip,Walk,
Mon Mar 10 19:05:34 PDT 2014,Mon Mar 10 20:56:08 PDT 2014,Activity,Activity,Meals Sleep,Home
