Start Time,End Time,Start Epoch,End Epoch,Type,Comments,,
19/04/14 09:41,19/04/14 13:44,1397925660994,1397940250533,Activity,Activity,Household_chores,Home
19/04/14 13:44,19/04/14 13:46,1397940250533,1397940381344,Non-walk trip,Trip,Car,
19/04/14 13:46,19/04/14 13:48,1397940381344,1397940512452,Walk trip,Trip,Car,
19/04/14 13:48,19/04/14 13:51,1397940512452,1397940663666,Non-walk trip,Trip,Car,
19/04/14 13:51,19/04/14 13:55,1397940663666,1397940912670,Walk trip,Trip,Car,
19/04/14 13:55,19/04/14 14:00,1397940912670,1397941217250,Non-walk trip,Trip,Car,
19/04/14 14:00,19/04/14 14:07,1397941217250,1397941637063,Walk trip,Trip,Car,
19/04/14 14:07,19/04/14 15:06,1397941637063,1397945206645,Non-walk trip,Trip,Car,
19/04/14 15:06,19/04/14 15:30,1397945206645,1397946637394,Activity,Activity,Social,
19/04/14 15:30,19/04/14 16:34,1397946637394,1397950495432,Non-walk trip,Trip,Car,
19/04/14 16:34,19/04/14 16:39,1397950495432,1397950755040,Walk trip,Trip,Walk,
19/04/14 16:39,19/04/14 16:43,1397950755040,1397951006152,Non-walk trip,Trip,Walk,
19/04/14 16:43,19/04/14 16:44,1397951006152,1397951097116,Walk trip,Trip,Walk,
19/04/14 16:44,19/04/14 16:51,1397951097116,1397951471040,Non-walk trip,Trip,Walk,
19/04/14 16:51,19/04/14 17:32,1397951471040,1397953967552,Walk trip,Trip,Walk,
19/04/14 17:32,19/04/14 17:41,1397953967552,1397954496898,Hole,Hole,,
19/04/14 17:41,19/04/14 17:51,1397954496898,1397955082210,Hole,Hole,,
19/04/14 17:51,19/04/14 18:11,1397955082210,1397956272607,Walk trip,Trip,Walk,
19/04/14 18:11,19/04/14 18:13,1397956272607,1397956404290,Non-walk trip,Trip,Walk,
19/04/14 18:13,19/04/14 18:19,1397956404290,1397956794161,Walk trip,Trip,Walk,
19/04/14 18:19,19/04/14 18:39,1397956794161,1397957983371,Non-walk trip,Trip,Walk,
19/04/14 18:39,19/04/14 18:51,1397957983371,1397958672298,Walk trip,Trip,Walk,
19/04/14 18:51,19/04/14 18:58,1397958672298,1397959083101,Non-walk trip,Trip,Walk,
19/04/14 18:58,19/04/14 19:07,1397959083101,1397959678691,Walk trip,Trip,Walk,
19/04/14 19:07,19/04/14 19:41,1397959678691,1397961673433,Activity,Activity,,
19/04/14 19:41,19/04/14 20:05,1397961673433,1397963145789,Activity,Activity,,
19/04/14 20:05,19/04/14 20:20,1397963145789,1397964050132,Walk trip,Trip,Walk,
19/04/14 20:20,19/04/14 20:23,1397964050132,1397964215946,Non-walk trip,Trip,Walk,
19/04/14 20:23,19/04/14 20:30,1397964215946,1397964625521,Activity,Activity,Waiting,
19/04/14 20:30,19/04/14 21:26,1397964625521,1397967962365,Non-walk trip,Trip,Car,
19/04/14 21:26,20/04/14 02:59,1397967962365,1397987977413,Activity,Activity,Sleep,Home
