Start Time,End Time,Start Epoch,End Epoch,Type,Comments,,
4/9/14 10:26,4/9/14 10:31,1397064409134,1397064676572,Walk trip,Trip,Transit,AC_Transit
4/9/14 10:31,4/9/14 10:34,1397064676572,1397064889203,Non-walk trip,Trip,Transit,AC_Transit
4/9/14 10:34,4/9/14 10:49,1397064889203,1397065760334,Walk trip,Trip,Walk,
4/9/14 10:49,4/9/14 10:56,1397065760334,1397066215211,Activity,Activity,Work,McLaughlin Hall
4/9/14 10:56,4/9/14 11:24,1397066215211,1397067870046,Activity,Activity,Work,McLaughlin Hall
4/9/14 11:24,4/9/14 13:10,1397067870046,1397074245157,Activity,Activity,Work,McLaughlin Hall
4/9/14 13:10,4/9/14 13:13,1397074245157,1397074394637,Walk trip,Trip,Walk,
4/9/14 13:13,4/9/14 13:32,1397074394637,1397075564768,Activity,Activity,Meals,Bongo
4/9/14 13:32,4/9/14 13:33,1397075564768,1397075598288,Walk trip,Activity,Work,McLaughlin Hall
4/9/14 13:33,4/9/14 16:45,1397075598288,1397087109769,Activity,Activity,Work,McLaughlin Hall
4/9/14 16:45,4/9/14 16:50,1397087109769,1397087413735,Hole,Hole,,
4/9/14 16:50,4/9/14 18:41,1397087413735,1397094114744,Activity,Activity,Work,McLaughlin Hall
4/9/14 18:41,4/9/14 18:53,1397094114744,1397094813688,Walk trip,Trip,Walk,
4/9/14 18:53,4/9/14 19:05,1397094813688,1397095505336,Activity,Activity,Waiting,Bus stop
4/9/14 19:05,4/9/14 19:07,1397095505336,1397095624596,Walk trip,Trip,Transit,AC_Transit
4/9/14 19:07,4/9/14 19:14,1397095624596,1397096076659,Non-walk trip,Trip,Transit,AC_Transit
4/9/14 19:14,4/10/14 2:59,1397096076659,1397123984158,Activity,Activity,Sleep,Home
