Start Time,End Time,Type,Comments,,
Mon Mar 10 07:44:43 PDT 2014,Mon Mar 10 09:46:21 PDT 2014,Activity,Activity,Sleep,Home
Mon Mar 10 09:46:21 PDT 2014,Mon Mar 10 09:49:21 PDT 2014,Non-walk trip,Trip,Walk,
Mon Mar 10 09:49:21 PDT 2014,Mon Mar 10 10:02:13 PDT 2014,Walk trip,Trip,Walk,
Mon Mar 10 10:02:13 PDT 2014,Mon Mar 10 11:02:09 PDT 2014,Activity,Activity,Work,McLaughlin Hall
Mon Mar 10 11:02:09 PDT 2014,Mon Mar 10 11:14:23 PDT 2014,Activity,Activity,Work,McLaughlin Hall
Mon Mar 10 11:14:23 PDT 2014,Mon Mar 10 12:44:58 PDT 2014,Activity,Activity,Work,McLaughlin Hall
Mon Mar 10 12:44:58 PDT 2014,Mon Mar 10 15:11:03 PDT 2014,Activity,Activity,Work,McLaughlin Hall
Mon Mar 10 15:11:03 PDT 2014,Mon Mar 10 16:38:59 PDT 2014,Activity,Activity,Work,McLaughlin Hall
Mon Mar 10 16:38:59 PDT 2014,Mon Mar 10 16:43:41 PDT 2014,Non-walk trip,Trip,Walk,
Mon Mar 10 16:43:41 PDT 2014,Mon Mar 10 16:54:59 PDT 2014,Walk trip,Trip,Walk,
Mon Mar 10 16:54:59 PDT 2014,Mon Mar 10 20:48:02 PDT 2014,Activity,Activity,Household_chores Sleep,Home
Mon Mar 10 20:48:02 PDT 2014,Mon Mar 10 23:23:00 PDT 2014,Activity,Activity,Household_chores Sleep,Home
Mon Mar 10 23:23:00 PDT 2014,Tue Mar 11 00:00:12 PDT 2014,Hole,Hole,,
Tue Mar 11 00:00:12 PDT 2014,Tue Mar 11 02:59:35 PDT 2014,Activity,Activity,Household_chores Sleep,Home
