Start Time,End Time,Type,Comments,,
Thu Mar 13 11:53:31 PDT 2014,Thu Mar 13 12:09:01 PDT 2014,Walk trip,Trip,Walk,
Thu Mar 13 12:09:01 PDT 2014,Thu Mar 13 12:10:31 PDT 2014,Non-walk trip,Trip,Walk,
Thu Mar 13 12:10:31 PDT 2014,Thu Mar 13 12:23:34 PDT 2014,Activity,Activity,Work,McLaughlin Hall
Thu Mar 13 12:23:34 PDT 2014,Thu Mar 13 18:22:59 PDT 2014,Activity,Activity,Work,McLaughlin Hall Davis Hall
Thu Mar 13 18:22:59 PDT 2014,Thu Mar 13 18:24:09 PDT 2014,Walk trip,Trip,Walk,
Thu Mar 13 18:24:09 PDT 2014,Thu Mar 13 18:59:07 PDT 2014,Activity,Activity,Meals,Bongo Burger
Thu Mar 13 18:59:07 PDT 2014,Thu Mar 13 19:00:07 PDT 2014,Walk trip,Trip,Walk,
Thu Mar 13 19:00:07 PDT 2014,Thu Mar 13 19:14:12 PDT 2014,Activity,Activity,Work,McLaughlin Hall
Thu Mar 13 19:14:12 PDT 2014,Thu Mar 13 20:24:31 PDT 2014,Activity,Activity,Work,McLaughlin Hall
Thu Mar 13 20:24:31 PDT 2014,Thu Mar 13 20:41:09 PDT 2014,Walk trip,Trip,Walk,
Thu Mar 13 20:41:09 PDT 2014,Thu Mar 13 22:41:31 PDT 2014,Activity,Activity,Work,McLaughlin Hall
Thu Mar 13 22:41:31 PDT 2014,Thu Mar 13 22:55:04 PDT 2014,Walk trip,Trip,Walk,
Thu Mar 13 22:55:04 PDT 2014,Thu Mar 13 23:01:36 PDT 2014,Activity,Activity,Work,McLaughlin Hall
Thu Mar 13 23:01:36 PDT 2014,Thu Mar 13 23:10:37 PDT 2014,Walk trip,Trip,Walk,
Thu Mar 13 23:10:37 PDT 2014,Fri Mar 14 02:59:30 PDT 2014,Activity,Activity,Sleep,Home
