Start Time,End Time,Type,Comments,,
Sat Mar 15 10:36:26 PDT 2014,Sat Mar 15 11:23:10 PDT 2014,Activity,Activity,Household_chores,Dave's
Sat Mar 15 11:23:10 PDT 2014,Sat Mar 15 11:26:15 PDT 2014,Non-walk trip,Trip,Bike,
Sat Mar 15 11:26:15 PDT 2014,Sat Mar 15 11:42:53 PDT 2014,Activity,Activity,Shopping,Whole Food's
Sat Mar 15 11:42:53 PDT 2014,Sat Mar 15 12:20:41 PDT 2014,Non-walk trip,Trip,Transit,BART
Sat Mar 15 12:20:41 PDT 2014,Sat Mar 15 12:22:37 PDT 2014,Walk trip,Trip,Walk,
Sat Mar 15 12:22:37 PDT 2014,Sat Mar 15 12:25:37 PDT 2014,Non-walk trip,Trip,Bike,
Sat Mar 15 12:25:37 PDT 2014,Sat Mar 15 12:41:33 PDT 2014,Walk trip,Trip,Walk,
Sat Mar 15 12:41:33 PDT 2014,Sat Mar 15 14:01:38 PDT 2014,Activity,Activity,Recreation,Asian Art Museum
Sat Mar 15 14:01:38 PDT 2014,Sat Mar 15 14:19:03 PDT 2014,Hole,Hole,,
Sat Mar 15 14:19:03 PDT 2014,Sat Mar 15 14:26:03 PDT 2014,Walk trip,Activity,Recreation,Asian Art Museum
Sat Mar 15 14:26:03 PDT 2014,Sat Mar 15 14:55:51 PDT 2014,Hole,Hole,,
Sat Mar 15 14:55:51 PDT 2014,Sat Mar 15 15:26:27 PDT 2014,Activity,Activity,Meals,Asian Art Museum
Sat Mar 15 15:26:27 PDT 2014,Sat Mar 15 15:36:17 PDT 2014,Walk trip,Trip,Walk,
Sat Mar 15 15:36:17 PDT 2014,Sat Mar 15 15:43:43 PDT 2014,Activity,Activity,Recreation,
Sat Mar 15 15:43:43 PDT 2014,Sat Mar 15 15:53:33 PDT 2014,Non-walk trip,Trip,Bike,
Sat Mar 15 15:53:33 PDT 2014,Sat Mar 15 15:56:33 PDT 2014,Walk trip,Trip,Bike,
Sat Mar 15 15:56:33 PDT 2014,Sat Mar 15 15:58:31 PDT 2014,Non-walk trip,Trip,Bike,
Sat Mar 15 15:58:31 PDT 2014,Sat Mar 15 16:03:58 PDT 2014,Hole,Hole,,
Sat Mar 15 16:03:58 PDT 2014,Sat Mar 15 16:07:53 PDT 2014,Walk trip,Trip,Transit,BART
Sat Mar 15 16:07:53 PDT 2014,Sat Mar 15 16:17:32 PDT 2014,Non-walk trip,Trip,Transit,BART
