Start Time,End Time,Start Epoch,End Epoch,Type,Comments,,
4/15/14 3:00,4/15/14 10:41,1397556046191,1397583661345,Activity,Activity,Sleep,Home
4/15/14 10:41,4/15/14 10:44,1397583661345,1397583871570,Non-walk trip,Trip,Transit,AC_Transit
4/15/14 10:44,4/15/14 10:46,1397583871570,1397583988715,Walk trip,Trip,Transit,AC_Transit
4/15/14 10:46,4/15/14 10:48,1397583988715,1397584114289,Non-walk trip,Trip,Transit,AC_Transit
4/15/14 10:48,4/15/14 10:58,1397584114289,1397584685790,Walk trip,Trip,Walk,
4/15/14 10:58,4/15/14 11:00,1397584685790,1397584805823,Non-walk trip,Trip,Walk,
4/15/14 11:00,4/15/14 19:40,1397584805823,1397616036002,Activity,Activity,Work,McLaughlin Hall
4/15/14 19:40,4/15/14 19:53,1397616036002,1397616817361,Walk trip,Trip,Walk,
4/15/14 19:53,4/15/14 19:56,1397616817361,1397616993044,Non-walk trip,Trip,Transit,AC_Transit
4/15/14 19:56,4/15/14 20:01,1397616993044,1397617294743,Walk trip,Trip,Transit,AC_Transit
4/15/14 20:01,4/15/14 20:06,1397617294743,1397617568712,Non-walk trip,Trip,Transit,AC_Transit
4/15/14 20:06,4/15/14 20:11,1397617568712,1397617898054,Walk trip,Trip,Transit,AC_Transit
4/15/14 20:11,4/16/14 2:59,1397617898054,1397642348823,Activity,Activity,Sleep,Home
