Start Time,End Time,Start Epoch,End Epoch,Type,Comments,,
4/15/14 3:00,4/15/14 12:21,1397556026499,1397589677417,Activity,Activity,Sleep,Home
4/15/14 12:21,4/15/14 12:35,1397589677417,1397590521305,Walk trip,Trip,Walk,
4/15/14 12:35,4/15/14 12:53,1397590521305,1397591610306,Activity,Activity,Meals,
4/15/14 12:53,4/15/14 12:59,1397591610306,1397591970473,Activity,Activity,Waiting,Bus Stop
4/15/14 12:59,4/15/14 13:05,1397591970473,1397592307724,Non-walk trip,Trip,Transit,AC_Transit
4/15/14 13:05,4/15/14 14:03,1397592307724,1397595803330,Activity,Activity,Social,Asian Ghetto
4/15/14 14:03,4/15/14 14:04,1397595803330,1397595863296,Walk trip,Trip,Walk,
4/15/14 14:04,4/15/14 19:56,1397595863296,1397617019412,Activity,Activity,Work,McLaughlin Hall
4/15/14 19:56,4/15/14 20:11,1397617019412,1397617863752,Walk trip,Trip,Walk,
4/15/14 20:11,4/15/14 20:52,1397617863752,1397620341418,Activity,Activity,Meals,Toss
4/15/14 20:52,4/15/14 21:04,1397620341418,1397621064515,Walk trip,Trip,Walk,
4/15/14 21:04,4/16/14 2:59,1397621064515,1397642384254,Activity,Activity,Work Sleep,Home
