Start Time,End Time,Type,Comments,,
Fri Mar 14 03:00:00 PDT 2014,Fri Mar 14 12:22:52 PDT 2014,Activity,Activity,Sleep,Home
Fri Mar 14 12:22:52 PDT 2014,Fri Mar 14 12:32:33 PDT 2014,Walk trip,Trip,Walk,
Fri Mar 14 12:32:33 PDT 2014,Fri Mar 14 13:12:13 PDT 2014,Activity,Activity,Work,McLaughlin Hall
Fri Mar 14 13:12:13 PDT 2014,Fri Mar 14 13:17:19 PDT 2014,Walk trip,Activity,Work,McLaughlin Hall
Fri Mar 14 13:17:19 PDT 2014,Fri Mar 14 13:23:22 PDT 2014,Activity,Activity,Work,McLaughlin Hall
Fri Mar 14 13:23:22 PDT 2014,Fri Mar 14 15:31:33 PDT 2014,Activity,Activity,Work,McLaughlin Hall
Fri Mar 14 15:31:33 PDT 2014,Fri Mar 14 15:48:12 PDT 2014,Walk trip,Trip,Walk,
Fri Mar 14 15:48:12 PDT 2014,Fri Mar 14 15:54:16 PDT 2014,Activity,Activity,Household_chores,Home
Fri Mar 14 15:54:16 PDT 2014,Fri Mar 14 16:05:20 PDT 2014,Walk trip,Trip,Walk,
Fri Mar 14 16:05:20 PDT 2014,Fri Mar 14 18:14:02 PDT 2014,Activity,Activity,Work,McLaughlin Hall
Fri Mar 14 18:14:02 PDT 2014,Fri Mar 14 18:21:32 PDT 2014,Activity,Activity,Work,McLaughlin Hall
Fri Mar 14 18:21:32 PDT 2014,Fri Mar 14 18:40:17 PDT 2014,Activity,Activity,Work,McLaughlin Hall
Fri Mar 14 18:40:17 PDT 2014,Fri Mar 14 18:47:40 PDT 2014,Activity,Activity,Work,McLaughlin Hall
Fri Mar 14 18:47:40 PDT 2014,Fri Mar 14 19:08:16 PDT 2014,Activity,Activity,Work,McLaughlin Hall
