Start Time,End Time,Type,Comments,,
Thu Mar 06 03:00:06 PST 2014,Thu Mar 06 03:05:19 PST 2014,Walk trip,Activity,Sleep,Home
Thu Mar 06 03:05:19 PST 2014,Thu Mar 06 03:18:43 PST 2014,Hole,Hole,,
Thu Mar 06 03:18:43 PST 2014,Thu Mar 06 09:12:16 PST 2014,Activity,Activity,Sleep Work,Home
Thu Mar 06 09:12:16 PST 2014,Thu Mar 06 09:24:44 PST 2014,Hole,Hole,,
Thu Mar 06 09:24:44 PST 2014,Thu Mar 06 09:46:28 PST 2014,Activity,Activity,Meals,Home
Thu Mar 06 09:46:28 PST 2014,Thu Mar 06 09:52:48 PST 2014,Hole,Hole,,
Thu Mar 06 09:52:48 PST 2014,Thu Mar 06 10:35:16 PST 2014,Activity,Activity,Work,Home
Thu Mar 06 10:35:16 PST 2014,Thu Mar 06 10:36:21 PST 2014,Walk trip,Trip,Walk,
Thu Mar 06 10:36:21 PST 2014,Thu Mar 06 10:45:24 PST 2014,Activity,Activity,Waiting,Bus Stop
Thu Mar 06 10:45:24 PST 2014,Thu Mar 06 10:47:21 PST 2014,Non-walk trip,Trip,Transit,AC_Transit
Thu Mar 06 10:47:21 PST 2014,Thu Mar 06 10:55:55 PST 2014,Walk trip,Trip,Transit,AC_Transit
Thu Mar 06 10:55:55 PST 2014,Thu Mar 06 15:42:47 PST 2014,Activity,Activity,Work,McLaughlin Hall
Thu Mar 06 15:42:47 PST 2014,Thu Mar 06 15:57:57 PST 2014,Walk trip,Trip,Walk,
Thu Mar 06 15:57:57 PST 2014,Thu Mar 06 17:32:50 PST 2014,Activity,Activity,Work,Strada
Thu Mar 06 17:32:50 PST 2014,Thu Mar 06 17:36:24 PST 2014,Walk trip,Trip,Walk,
Thu Mar 06 17:36:24 PST 2014,Thu Mar 06 17:57:03 PST 2014,Activity,Activity,Shopping,Cal Store
Thu Mar 06 17:57:03 PST 2014,Thu Mar 06 18:02:37 PST 2014,Walk trip,Trip,Walk,
Thu Mar 06 18:02:37 PST 2014,Thu Mar 06 18:09:41 PST 2014,Activity,Activity,Work,Faculty Club
Thu Mar 06 18:09:41 PST 2014,Thu Mar 06 20:28:29 PST 2014,Activity,Activity,Work,Faculty Club
Thu Mar 06 20:28:29 PST 2014,Thu Mar 06 20:33:33 PST 2014,Walk trip,Trip,Walk,
Thu Mar 06 20:33:33 PST 2014,Thu Mar 06 20:41:37 PST 2014,Non-walk trip,Trip,Transit,AC_Transit
Thu Mar 06 20:41:37 PST 2014,Thu Mar 06 20:57:41 PST 2014,Activity,Activity,Shopping,Trader Joe's
Thu Mar 06 20:57:41 PST 2014,Thu Mar 06 21:01:13 PST 2014,Walk trip,Trip,Walk,
Thu Mar 06 21:01:13 PST 2014,Thu Mar 06 21:29:52 PST 2014,Activity,Activity,Meals Relaxing,Home
Thu Mar 06 21:29:52 PST 2014,Thu Mar 06 21:58:06 PST 2014,Activity,Activity,Work,Home
Thu Mar 06 21:58:06 PST 2014,Fri Mar 07 00:00:04 PST 2014,Hole,Hole,,
Fri Mar 07 00:00:04 PST 2014,Fri Mar 07 00:36:30 PST 2014,Activity,Activity,Sleep,Home
Fri Mar 07 00:36:30 PST 2014,Fri Mar 07 00:48:30 PST 2014,Hole,Hole,,
Fri Mar 07 00:48:30 PST 2014,Fri Mar 07 01:25:55 PST 2014,Activity,Activity,Sleep,Home
Fri Mar 07 01:25:55 PST 2014,Fri Mar 07 02:21:16 PST 2014,Hole,Hole,,
Fri Mar 07 02:21:16 PST 2014,Fri Mar 07 02:40:27 PST 2014,Activity,Activity,Sleep,Home
