Start Time,End Time,Type,Comments,,
Thu Mar 13 03:00:13 PDT 2014,Thu Mar 13 11:24:40 PDT 2014,Activity,Activity,Sleep Work,Home
Thu Mar 13 11:24:40 PDT 2014,Thu Mar 13 11:29:46 PDT 2014,Hole,Hole,,
Thu Mar 13 11:29:46 PDT 2014,Thu Mar 13 11:31:41 PDT 2014,Walk trip,Activity,Work,Home
Thu Mar 13 11:31:41 PDT 2014,Thu Mar 13 11:36:57 PDT 2014,Hole,Hole,,
Thu Mar 13 11:36:57 PDT 2014,Thu Mar 13 12:21:33 PDT 2014,Activity,Activity,Work,Home
Thu Mar 13 12:21:33 PDT 2014,Thu Mar 13 12:22:04 PDT 2014,Non-walk trip,Trip,Transit,AC_Transit
Thu Mar 13 12:22:04 PDT 2014,Thu Mar 13 12:28:36 PDT 2014,Activity,Trip,Transit,AC_Transit
Thu Mar 13 12:28:36 PDT 2014,Thu Mar 13 12:32:07 PDT 2014,Non-walk trip,Trip,Transit,AC_Transit
Thu Mar 13 12:32:07 PDT 2014,Thu Mar 13 12:40:39 PDT 2014,Walk trip,Trip,Walk,
Thu Mar 13 12:40:39 PDT 2014,Thu Mar 13 15:36:52 PDT 2014,Activity,Activity,Work,McLaughlin Hall
Thu Mar 13 15:36:52 PDT 2014,Thu Mar 13 15:37:52 PDT 2014,Walk trip,Trip,Walk,
Thu Mar 13 15:37:52 PDT 2014,Thu Mar 13 17:09:15 PDT 2014,Activity,Activity,Work Meals,Brewed Awakening
Thu Mar 13 17:09:15 PDT 2014,Thu Mar 13 17:09:46 PDT 2014,Non-walk trip,Trip,Walk,
Thu Mar 13 17:09:46 PDT 2014,Thu Mar 13 19:29:13 PDT 2014,Activity,Activity,Work,McLaughlin Hall
Thu Mar 13 19:29:13 PDT 2014,Fri Mar 14 00:00:01 PDT 2014,Hole,Hole,,
Fri Mar 14 00:00:01 PDT 2014,Fri Mar 14 02:00:16 PDT 2014,Activity,Activity,Sleep,Home
